LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
NEMOUR,Kaylia,w,ALG,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,1,6.9,8.3,,15.2
PHILLIPS,Curran,m,USA,19-20 Aug 2022,2022 U.S. Championships,qual,"Tampa, FL",PB,,6.9,8.45,,15.349999
PHILLIPS,Curran,m,USA,19-20 Aug 2022,2022 U.S. Championships,final,"Tampa, FL",PB,,6.9,8.4,,15.3
PHILLIPS,Curran,m,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",PB,1,6.9,7.85,,14.75
WHITLOCK,Max,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,final,"Antwerp, Belgium",PH,5,6.9,7.4,,14.3
WHITLOCK,Max,m,GBR,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",PH,,6.9,8.366,,15.266
ZOU,Jingyuan,m,CHN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,1,6.9,9.266,,16.166
ZOU,Jingyuan,m,CHN,1-5 Aug 2023,2023 FISU World University Games,final,"Chengdu, China",PB,1,6.9,9.166,,16.0660
BILES,Simone,w,USA,26-27 Aug 2023,2023 U.S. Championships,qual,"San Jose, CA",VT,,6.4,9.8,0.5,15.7
BILES,Simone,w,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",FX,,6.8,8.6,,15.4
BILES,Simone,w,USA,4-6 Aug 2023,2023 Core Hydration Classic,AAfinal,"Hoffman Estates, Illinois",VT,,6.4,9.6,0.6,15.4
NEDOROSCIK,Stephen,m,USA,26-27 Aug 2023,2023 U.S. Championships,final,"San Jose, CA",PH,,6.8,8.25,,15.05
